0 Waiting to start...
Time: 10, Temperature: 25.0, Soil Moisture:1, Proximity:195.65 cm, Touch: 0, Electric Signal: 1023, Noise:878
Time: 11, Temperature: 25.0, Soil Moisture:1, Proximity:195.01 cm, Touch: 0, Electric Signal: 1023, Noise:879
Time: 12, Temperature: 25.0, Soil Moisture:1, Proximity:193.97 cm, Touch: 0, Electric Signal: 1023, Noise:879
Time: 13, Temperature: 25.0, Soil Moisture:1, Proximity:194.62 cm, Touch: 0, Electric Signal: 1023, Noise:879
Time: 14, Temperature: 25.0, Soil Moisture:1, Proximity:194.5 cm, Touch: 0, Electric Signal: 1023, Noise:879
Time: 1, Temperature: 25.0, Soil Moisture:1, Proximity:196.56 cm, Touch: 0, Electric Signal: 1023, Noise:884
Time: 2, Temperature: 25.0, Soil Moisture:1, Proximity:196.09 cm, Touch: 0, Electric Signal: 1023, Noise:879
Time: 3, Temperature: 25.0, Soil Moisture:1, Proximity:194.41 cm, Touch: 0, Electric Signal: 1023, Noise:879
Time: 4, Temperature: 25.0, Soil Moisture:1, Proximity:196.47 cm, Touch: 0, Electric Signal: 1023, Noise:880
Time: 5, Temperature: 25.0, Soil Moisture:1, Proximity:194.41 cm, Touch: 0, Electric Signal: 1023, Noise:880
Time: 6, Temperature: 25.0, Soil Moisture:1, Proximity:194.24 cm, Touch: 0, Electric Signal: 1023, Noise:879
Time: 7, Temperature: 25.0, Soil Moisture:1, Proximity:197.62 cm, Touch: 0, Electric Signal: 1023, Noise:879
Time: 1, Temperature: 25.0, Soil Moisture:1, Proximity:195.3 cm, Touch: 0, Electric Signal: 1023, Noise:884
Time: 2, Temperature: 25.0, Soil Moisture:1, Proximity:194.4 cm, Touch: 0, Electric Signal: 1023, Noise:879
Time: 3, Temperature: 25.0, Soil Moisture:1, Proximity:196.23 cm, Touch: 0, Electric Signal: 1023, Noise:880
Time: 4, Temperature: 25.0, Soil Moisture:1, Proximity:197.84 cm, Touch: 0, Electric Signal: 1023, Noise:879
Time: 5, Temperature: 25.0, Soil Moisture:1, Proximity:194.31 cm, Touch: 0, Electric Signal: 1023, Noise:879
Time: 6, Temperature: 25.0, Soil Moisture:1, Proximity:195.75 cm, Touch: 0, Electric Signal: 1023, Noise:879
Time: 7, Temperature: 25.0, Soil Moisture:1, Proximity:194.62 cm, Touch: 0, Electric Signal: 1023, Noise:879
Time: 8, Temperature: 25.0, Soil Moisture:1, Proximity:196.95 cm, Touch: 0, Electric Signal: 1023, Noise:879
Time: 9, Temperature: 25.0, Soil Moisture:1, Proximity:197.77 cm, Touch: 0, Electric Signal: 1023, Noise:879
Time: 10, Temperature: 25.0, Soil Moisture:1, Proximity:195.65 cm, Touch: 0, Electric Signal: 1023, Noise:879
Time: 11, Temperature: 25.0, Soil Moisture:1, Proximity:195.12 cm, Touch: 0, Electric Signal: 1023, Noise:879
Time: 12, Temperature: 25.0, Soil Moisture:1, Proximity:195.97 cm, Touch: 0, Electric Signal: 1023, Noise:879
Time: 13, Temperature: 25.0, Soil Moisture:1, Proximity:193.42 cm, Touch: 0, Electric Signal: 1023, Noise:880
Time: 14, Temperature: 25.0, Soil Moisture:1, Proximity:194.96 cm, Touch: 0, Electric Signal: 1023, Noise:879
Time: 15, Temperature: 25.0, Soil Moisture:1, Proximity:195.0 cm, Touch: 0, Electric Signal: 1023, Noise:879
